台文,台羅,中文,英文
一個月,tsi̍t kò gue̍h,一個月,one month
人客倌,lâng-kheh-kuann,對客人的敬稱,Respectful titles for guests.
來好倌,Lâi-hó kuann,來好女仕,Come good lady.
伊咧修行，無插俗事。,"I teh siu-hīng, bô tshap sio̍k-sū.",他在修佛學道，不過問世事。,"He is studying Buddhism and the Tao, but does not inquire about worldly affairs."
你就是攏無修行，性地才會遮爾仔䆀。,"Lí tō sī lóng bô siu-hīng, sìng-tē tsiah ē tsiah-nī-á bái.",你就是都沒有修身養性，脾氣才會這麼差。,You just haven't cultivated yourself and your temperament is so bad.
時鐘修理好矣。,Sî-tsing siu-lí hó--ah.,時鐘修理好了。,The clock has been repaired.
伊去予人修理。,i khì hōo lâng siu-lí.,他被修理了。,He was fixed.
修補厝頂,siu-póo tshù-tíng,修補屋頂,repair the roof
咱愛時常修養咱的心行，才袂做失德的代誌。,"Lán ài sî-siông siu-ióng lán ê sim-hīng, tsiah bē tsò sit-tik ê tāi-tsì.",我們要時常涵養品行，才不會做失德的事。,"We need to constantly cultivate our character, so that we won't do immoral things."
伊的修養真好，攏袂佮人冤家。,"I ê siu-ióng tsin hó, lóng bē kah lâng uan-ke.",他的修養很好，都不會跟人家吵架。,"His temperament is very good, he never argues with others."
修整路面,siu-tsíng lōo-bīn,修整路面,Repair the road surface.
倒落去。,Tó--lo̍h-khì.,倒下去。,fall down
倒佇眠床頂。,Tó tī bîn-tshn̂g-tíng.,倒在床上。,Fell on the bed.
彼間店早就倒矣。,Hit king tiàm tsá tō tó--ah.,那家店早就倒了。,That store has long since closed.
伊的會仔予人倒去矣。,I ê huē-á hōo lâng tó--khì--ah.,他跟會被倒掉了。,He will be dumped.
菜擴豉猶未倒。,Tshài-khok sīnn iáu-buē tó.,菜頭還沒醃入味。,The turnips have not yet been marinated.
倒水,tò tsuí,倒水,pour water
倒糞埽,tò pùn-sò,倒垃圾,Take out the trash
倒爿,tò-pîng,左邊,Left side.
倒跤,tò-kha,左腳,Left foot.
倒去,tò--khì,回去,go back
倒吊,tò-tiàu,倒懸,upside down
遐趕緊若做毋著倒害。,Hiah kuánn-kín nā tsò m̄-tio̍h tò hāi.,這樣趕若做錯反而糟糕。,This rush could lead to mistakes and make things worse.
你傷倖囡仔。,Lí siunn sīng gín-á.,你太溺愛小孩。,You spoil children too much.
倖豬夯灶，倖囝不孝。,"Sīng ti giâ tsàu, sīng kiánn put-hàu.",比喻子女要加以管教，不能放縱，否則會變成不孝。,"Metaphorically speaking, children must be disciplined and not allowed to run wild, otherwise they will become unfilial."
坐倚來。,Tsē uá--lâi.,坐過來一點。,Move over a bit.
倚樣做衫。,Uá iūnn tsò sann.,仿照某個樣式做衣服。,Make clothes following a certain style.
我借伊一本冊。,Guá tsioh i tsi̍t pún tsheh.,我借他一本書。,I lent him a book.
我共伊借冊。,Guá kā i tsioh tsheh.,我向他借書。,I borrowed a book from him.
加倩兩个人來鬥跤手。,Ke tshiànn nn̄g ê lâng lâi tàu-kha-tshiú.,多聘僱兩個人來幫忙。,Hire two more people to help.
倩鬼拆藥單。,Tshiànn kuí thiah io̍h-tuann.,請鬼抓藥。比喻「自尋死路」。,Please catch medicine with ghosts. It means to seek a dead end for oneself.
你毋通笑伊倯，伊真有學問閣有修養。,"Lí m̄-thang tshiò i sông, i tsin ū ha̍k-būn koh ū siu-ióng.",你不要笑他老土，他很有學問又有修養。,Don't laugh at him for being old-fashioned. He is very knowledgeable and cultured.
開五百箍買一枝筆，敢有值？,"Khai gōo-pah khoo bé tsi̍t ki pit, kám ū ta̍t?",花五百元買一枝筆，值得嗎？,Is it worth buying a pen for five hundred yuan?
做甲欲死，毋值得人一句話。,"Tsò kah beh-sí, m̄ ta̍t-tit lâng tsi̍t kù uē.",做得要死，還比不上人家一句話。,Working to death still can't compare to a single sentence from others.
這間厝值偌濟錢？,Tsit king tshù ta̍t guā-tsē tsînn?,這間房子價值多少？,What is the value of this house?
為著小可仔代誌來冤家，真毋值。,"Uī-tio̍h sió-khuá-á tāi-tsì lâi uan-ke, tsin m̄-ta̍t.",為了一點小事吵架，很不值得。,For a small matter to argue is not worth it.
值班,ti̍t-pan,值班,on duty
校長兼摃鐘。,Hāu-tiúnn kiam kòng-tsing.,校長兼工友。比喻包辦所有事情。,Principal and worker. Metaphor for taking care of everything.
一兼二顧，摸蜊仔兼洗褲。,"It kiam jī kòo, bong lâ-á kiam sé khòo.",比喻二者兼顧。,"Metaphorically speaking, both are taken into account."
恁兩个莫閣冤矣啦！,Lín nn̄g ê mài koh uan--ah--lah!,你們兩個別再吵了！,"Both of you, stop arguing!"
申冤,sin-uan,申訴冤情,Appeal f
老師准我請假。,Lāu-su tsún guá tshíng-ká.,老師允許我請假。,The teacher allowed me to take a leave.
面凊凊,bīn tshìn-tshìn,表情冷淡,Expression is cold.
凊飯,tshìn-pn̄g,剩飯、冷飯,"Leftover rice, cold rice."
凊凊彩彩,tshìn-tshìn-tshái-tshái,隨隨便便,casually
肉湯堅凍,bah-thng kian-tàng,肉湯結成了湯塊,Meat soup has formed into soup chunks.
雞跤凍,ke-kha-tàng,雞腳凍,Chicken feet are frozen.
牛肉凍,gû-bah-tàng,牛肉凍,Beef jerky.
跤手真凍。,Kha-tshiú tsin tàng.,手腳真冰冷。,Hands and feet are really cold.
凍舌,tàng-tsi̍h,舌頭受到刺激而感覺麻麻的,The tongue is stimulated and feels numb.
凍喙齒,tàng-tshuì-khí,牙齒受凍,Toothache from the cold.
凍露水,tàng-lōo-tsuí,花草夜晚沾露水,Flowers and plants are covered in dew at night.
冰凍,ping-tòng,結冰,to freeze or to form ice.
冷凍,líng-tòng,冷凍,Cold storage or Freeze
用齒戳剔喙齒。,Īng khí-thok thak tshuì-khí.,用牙籤剔牙齒。,Use a toothpick to pick your teeth.
剝筍仔殼,pak sún-á khak,剝竹筍殼,Peel bamboo shoots.
共目鏡剝落來。,Kā ba̍k-kiànn pak--lo̍h-lâi.,把眼鏡拿下來。,Take off your glasses.
我的錢予歹人剝去矣。,Guá ê tsînn hōo pháinn-lâng pak--khì--ah.,我的錢被歹徒搶個精光。,My money was stolen by a bandit.
我的冊借人矣。,Guá ê tsheh tsioh--lâng--ah.,我的書借人了。,My book was borrowed by someone.
結冤仇,kiat-uan-siû,結怨、結仇,"Form grudges, form enmity"
你敢有冤仇人？,Lí kám ū uan-siû-lâng?,你有仇人嗎？,Do you have any enemies?
伊話共人講倒反。,I uē kā lâng kóng tò-píng.,他把話反著說。,He said the opposite.
伊寫字、食飯攏用倒手。,"I siá-jī, tsia̍h-pn̄g lóng īng tò-tshiú.",他寫字、吃飯都用左手。,He writes and eats with his left hand.
我對你已經凊心矣。,Guá tuì lí í-king tshìn-sim--ah.,我對你已經寒心失望了。,I am already disappointed and cold-hearted towards you.
你欲揣的彼間厝佇倒手爿。,Lí beh tshuē ê hit king tshù tī tò-tshiú-pîng.,你要找的那間房子在左手邊。,The house you are looking for is on the left side.
你頭拄仔講的彼間店是佇路的倒爿抑是正爿？,Lí thâu-tú-á kóng ê hit king tiàm sī tī lōo ê tò-pîng ia̍h-sī tsiànn-pîng?,你剛才說的那間店是在路的左邊還是右邊？,Did you say that the store is on the left side or the right side of the road?
你啥物時陣欲倒去？,Lí siánn-mih sî-tsūn beh tò--khì?,你什麼時候要回去？,When are you going back?
你的筆借用一下。,Lí ê pit tsioh-iōng--tsi̍t-ē.,你的筆借用一下。,"I'll be happy to help! The text you provided, which is in Chinese, translates to English as: Can I borrow your pen for a moment?"
剝皮袋粗糠。,Pak-phuê tē tshoo-khng.,把皮剝下來裝粗糠。形容對人慘烈報復，施以酷刑。,"Peel off the skin and stuff it with coarse bran. It describes a cruel revenge on someone, inflicting torture."
今仔日熱甲強欲剝皮。,Kin-á-ji̍t jua̍h kah kiōng-beh pak-phuê.,今天熱到想剝皮。,Today is so hot that I feel like peeling my skin off.
伊佇師大兼任教冊。,I tī Su-tāi kiam-jīm kà-tsheh.,他在師大兼職教書。,He teaches part-time at NTNU.
這个人倒吊無墨水。,Tsit ê lâng tò-tiàu bô ba̍k-tsuí.,這個人倒吊起來也沒半滴墨水。比喻人沒學問，胸無點墨。,"This person, even if hung upside down, would not have a single drop of ink. It means that the person lacks knowledge and has no talent."
倚年交通攏較亂。,Uá-nî kau-thong lóng khah luān.,快過年的時候，交通都比較亂。,"During the Chinese New Year, the traffic is usually chaotic."
你佗位無爽快，哪會咧流凊汗？,"Lí tó-uī bô sóng-khuài, ná ē teh lâu-tshìn-kuānn?",你哪裡不舒服，怎麼會冒冷汗？,"Where are you feeling uncomfortable, how come you're sweating?"
你心內有啥物冤屈，攏講出來無要緊。,"Lí sim-lāi ū siánn-mih uan-khut, lóng kóng--tshut-lâi bô iàu-kín.",你心裡有什麼冤屈，都講出來沒關係。,"What grievances do you have in your heart, it's okay to speak them out."
你毋通冤枉別人。,Lí m̄-thang uan-óng pa̍t-lâng.,你不要枉屈別人。,Do not wrongly accuse others.
這款冤枉錢你曷開會落去！,Tsit khuán uan-óng tsînn lí a̍h khai ē lo̍h--khì!,這種浪費錢你居然花得下去！,You can actually spend money on this kind of waste!
你莫閣共伊凌治矣。,Lí mài koh kā i lîng-tī--ah.,你別再欺負他了。,Stop bullying him.
摒掃的工課予倩的去做就好矣！,Piànn-sàu ê khang-khuè hōo tshiànn--ê khì tsò tō hó--ah!,打掃的工作交給員工做就好了！,Just leave the cleaning work to the employees to do!
交貨的日子倚近，做袂赴矣！,"Kau-huè ê ji̍t-tsí uá-kīn, tsò bē-hù--ah!",交貨的日子接近，做不完了！,"The delivery date is approaching, can't finish it!"
伊坐佇我的倒面。,I tsē tī guá ê tò-bīn.,他坐在我左邊。,He is sitting on my left side.
掀過來，倒面嘛會使寫。,"Hian--kuè-lâi, tò-bīn mā ē-sái siá.",翻過來，背面也可以寫。,"Turn it over, you can also write on the back."
這兩个若見面就冤家。,Tsit nn̄g ê nā kìnn-bīn tō uan-ke.,這兩個人一見面就爭吵。,These two people argue as soon as they meet.
想袂到𪜶兩个會冤家變親家。,Siūnn-bē-kàu in nn̄g ê ē uan-ke piàn tshin-ke.,想不到他們兩個人會冤家變親家。,I didn't expect the two of them to become in-laws from enemies.
你做人大兄閣一日到暗佮小弟冤家量債，敢袂歹勢？,"Lí tsò lâng tuā-hiann koh tsi̍t-ji̍t-kàu-àm kah sió-tī uan-ke-niû-tsè, kám bē pháinn-sè?",你做人家大哥還一天到晚跟弟弟爭吵，難道不害臊嗎？,Do you not feel embarrassed for constantly arguing with your younger brother when you are supposed to be the older one?
閣較倒退淡薄仔。,Koh-khah tò-thè--tām-po̍h-á.,再後退一點。,Step back a little.
借問一下，文化路佇佗位？,"Tsioh-mn̄g--tsi̍t-ē, Bûn-huà-lōo tī tó-uī？",請問一下，文化路在哪？,"Excuse me, where is Wenhua Road?"
伊敢值得你按呢對待？,I kám ta̍t-tit lí án-ne tuì-thāi?,他值得你這樣對待嗎？,Does he deserve to be treated like this by you?
我是凊彩講的，你毋通囥佇心肝內。,"Guá sī tshìn-tshái kóng--ê, lí m̄-thang khǹg tī sim-kuann-lāi.",我是隨便說說的，你不要放在心裡。,"I'm just saying casually, don't take it to heart."
凊彩人攏會曉。,Tshìn-tshái lâng lóng ē-hiáu.,任何人都會。,Anyone can do it.
伊的人真凊彩。,I ê lâng tsin tshìn-tshái.,他為人很隨便。,He is very casual.
你毋通遐凊彩。,Lí m̄-thang hiah tshìn-tshái.,你不要這麼隨意。,Don't be so casual.
倚晝的時陣我就會轉來。,Uá-tàu ê sî-tsūn guá tō ē tńg--lâi.,接近中午的時候我就會回來。,I will come back around noon.
做人愛重倫理。,Tsò-lâng ài tiōng lûn-lí.,做人要注重倫理。,One should pay attention to ethics in being a person.
這个價數我就倒貼矣，哪會用得！,"Tsit ê kè-siàu guá tō tò-thiap--ah, ná ē-īng--tit!",這個價錢我就倒貼虧本了，這怎麼行！,"I would be losing money if I sell it at this price, how can this work!"
你去提凊飯來炒。,Lí khì the̍h tshìn-pn̄g lâi tshá.,你去拿冷飯來炒飯。,Go get some cold rice and fry it.
朋友愛互相鼓勵，講話毋通倒剾。,"Pîng-iú ài hōo-siong kóo-lē, kóng-uē m̄-thang tò-khau.",朋友要互相鼓勵，不要暗中嘲諷。,"Friends should encourage each other, and not mock each other in secret."
伊共人倒會仔。,I kā lâng tó-huē-á.,他倒人家的會。,He canceled their meeting.
借過一下！,Tsioh-kuè--tsi̍t-ē!,借過一下！,"Excuse me, may I pass through?"
好禮仔坐，無，會倒摔向。,"Hó-lé-á tsē, bô, ē tò-siàng-hiànn.",小心坐好，不然，會摔個倒栽蔥。,"Be careful and sit properly, otherwise, you will fall flat on your face."
看著彼个笑面虎我就倒彈。,Khuànn-tio̍h hit ê tshiò-bīn-hóo guá tō tò-tuānn.,看到那個笑面虎我就噁心。,"When I see that smiling tiger, I feel sick."
球擲落塗跤會倒彈起來。,Kiû tàn-lo̍h thôo-kha ē tò-tuānn--khí-lâi.,球丟到地上會反彈起來。,The ball will bounce back when thrown to the ground.
伊共我倒數。,I kā guá tó-siàu.,他欠我錢不還。,He owes me money and hasn't returned it.
倒踏蹬,tò-ta̍h tenn,腳沒穿進鞋裡，踏著鞋後緣,"Without adding any extra punctuation marks, the translation of the Chinese text is: Feet not in shoes, stepping on the back edge of the shoes."
倒踏蓮花,tò-ta̍h liân-hue,難產之一種，指胎兒雙腳先生出來,One type of difficult childbirth refers to when the baby's two feet come out first.
有的跤踏車倒踏就會停。,Ū ê kha-ta̍h-tshia tò-ta̍h tō ē thîng.,有的腳踏車倒著踩會停止轉動。,Some bicycles will stop spinning when pedaled backwards.
自𪜶爸母死了後，伊就去倚靠𪜶兄嫂。,"Tsū in pē-bú sí liáu-āu, i tō khì uá-khò in hiann-só.",自從他父母死後，他就去投靠他的兄嫂。,"After his parents died, he went to live with his brother and sister-in-law."
彼堵壁的油漆猶未焦，你毋通去倚壁。,"Hit tóo piah ê iû-tshat iáu-buē ta, lí m̄-thang khì uá-piah.",牆上的油漆還沒乾，你不要靠著牆壁。,"The paint on the wall hasn't dried yet, don't lean against the wall."
博士候選人,phok-sū hāu-suán-jîn,博士候選人,Doctoral candidate.
借錢若毋還，後擺無人欲借你。,"Tsioh tsînn nā m̄ hîng, āu-pái bô lâng beh tsioh--lí.",借錢如果不還，以後沒人要借你。,"If you don't repay the borrowed money, no one will lend you in the future."
這塊玉仔真值錢。,Tsit tè gi̍k-á tsin ta̍t-tsînn.,這塊玉很值錢。,This jade is very valuable.
你筆攑倒頭矣。,Lí pit gia̍h tò-thâu--ah.,你筆拿顛倒了。,You have your pen upside down.
倒頭栽,tò-thâu-tsai,倒栽蔥,Upside-down onion in English.
倒頭講,tò-thâu kóng,說反話,speak in reverse.
