中文,台文,台羅,白話字
他不聲不響馬上跑得不見人影。,伊無講無呾隨走甲無看人影。,i bô-kóng-bô-tànn suî tsáu kah bô khuànn lâng-iánn.,i bô-kóng-bô-tàⁿ sûi cháu kah bô khòaⁿ lâng-iáⁿ.
游泳打水花,泅水拍滂泅,siû-tsuí phah-phōng-siû,siû-chúi phah-phōng-siû
我趁颱風雨稍微變小的時候，,我趁風颱雨閬縫小可停的時，,"guá thàn hong-thai-hōo làng-phāng sió-khuá thîng ê sî,","góa thàn hong-thai-hō͘ làng-phāng sió-khóa thêng ê sî,"
溫度三十至三十二度，降雨機率百分之八十,溫度三十至三十二度，落雨機率八十pha,"un-tōo sann-tsa̍p tsì sann-tsa̍p-jī tōo, lo̍h-hōo ki-lu̍t pueh-tsa̍p pha","un-tō͘ saⁿ-cha̍p chì saⁿ-cha̍p-jī tō͘,lo̍h-hō͘ ki-lu̍t poeh-cha̍p pha"
現在他們長大了！,今大漢𪜶矣！,tann in tuā-hàn--ah!,taⁿ in tōa-hàn--ah!
想要留下親情。,想欲留下親情。,siūnn-beh lâu-hā tshin-tsîng.,siūⁿ-beh lâu-hā chhin-chêng.
看到文鐘從家裡走出來，,看著文鐘對厝裡行出來，,"khuànn-tio̍h Bûn-tsing tuì tshù--nih kiânn--tshut-lâi,","khòaⁿ-tio̍h Bûn-cheng tùi chhù--nih kiâⁿ--chhut-lâi,"
做生意就是要有競爭，,做生理就是愛有競爭，,"tsuè-sing-lí tiō sī ài ū kìng-tsing,","chòe-seng-lí tiō sī ài ū kèng-cheng,"
來撫養這個可憐的孫子。,來晟養這个可憐孫。,lâi tshiânn-ióng tsit ê khó-liân sun.,lâi chhiâⁿ-ióng chit ê khó-liân sun.
作者：曾江山,作者：曾江山,tsok-tsiá: Tsan Kang-san,chok-chiá:Chan Kang-san
「什麼是游泳池？,「啥物是游泳池？,“siánn-mih sī iû-íng-tî?,“siáⁿ-mih sī iû-éng-tî?
笑說我不怕被爸媽打死，,笑講我毋驚予爸母拍死，,"tshiò kóng guá m̄ kiann hōo pē-bú phah--sí,","chhiò kóng góa m̄ kiaⁿ hō͘ pē-bú phah--sí,"
善心將死去的單身漢，,善心共過往的羅漢跤仔，,"siān-sim kā kuè-óng ê lô-hàn-kha-á,","siān-sim kā kòe-óng ê lô-hàn-kha-á,"
出生耳朵就聽不到，,出世耳空就聽無，,"tshut-sì hīnn-khang tiō thiann bô,","chhut-sì hīⁿ-khang tiō thiaⁿ bô,"
才能夠去學校註冊。,才有通去學校註冊。,tsiah ū thang khìr ha̍k-hāu tsù-tsheh.,chiah ū thang khìr ha̍k-hāu chù-chheh.
還找人來說明解釋。,閣叫人說明解說。,koh kiò lâng sueh-bîng kái-sueh.,koh kiò lâng soeh-bêng kái-soeh.
他還被逼著上演獻地圖的侮辱戲碼。,伊煞著被逼扮演獻地圖的侮辱戲。,i suah to̍h pī pik pān-ián hiàn tē-tôo ê bú-jio̍k hì.,i soah to̍h pī pek pān-ián hiàn tē-tô͘ ê bú-jio̍k hì.
互相檢討以求進步。,互相落氣求進步。,hōo-siong làu-khuì kiû tsìn-pōo.,hō͘-siong làu-khùi kiû chìn-pō͘.
更加需要深入知道最早的台灣人根本歷史，,閣較需要深入知影上早的台灣人根底歷史，,"koh-khah su-iàu tshim-ji̍p tsai-iánn siōng tsá ê Tâi-uân-lâng kin-té li̍k-sú,","koh-khah su-iàu chhim-ji̍p chai-iáⁿ siōng chá ê Tâi-oân-lâng kin-té le̍k-sú,"
馬上轉頭走進家裡。,隨越頭行入厝裡。,suî ua̍t-thâu kiânn li̍p tshù--nih.,sûi oa̍t-thâu kiâⁿ li̍p chhù--nih.
就先學潛水……」,就先學藏水沬……」,tio̍h sing o̍h tshàng-tsuí-bī...”,tio̍h seng o̍h chhàng-chúi-bī...”
臺語文運動的新階段：做生意,臺語文運動新階段：做生理,Tâi-gí-bûn ūn-tōng sin kai-tuānn: tsò-sing-lí,Tâi-gí-bûn ūn-tōng sin kai-tōaⁿ:chò-seng-lí
那時候，輕工業才剛開始萌芽，,彼時陣，輕工業才開始發穎，,"Hit-sî-tsūn, khin-kang-gia̍p tsiah khai-sí puh-ínn,","Hit-sî-chūn,khin-kang-gia̍p chiah khai-sí puh-íⁿ,"
「台文筆會」的成員有許多台文作家是直接或間接受到《台文通訊》的影響與造就，,「台文筆會」的成員有真濟台文作家是直接或者是間接受著《台文通訊》的影響佮造就，,"“Tâi-bûn pit-huē” ê sîng-guân ū tsin tsē Tâi-bûn tsok-ka sī ti̍t-tsiap hi̍k-tsiá sī kan-tsiap siū-tio̍h “Tâi-bûn thong-sìn” ê íng-hióng kah tsō-tsiū,","“Tâi-bûn pit-hōe”ê sêng-goân ū chin chē Tâi-bûn chok-ka sī ti̍t-chiap he̍k-chiá sī kan-chiap siū-tio̍h“Tâi-bûn thong-sìn”ê éng-hióng kah chō-chiū,"
一台是我哥哥的，,一台阮哥哥的，,"tsi̍t tâi guán ko-koh--ê,","chi̍t tâi goán ko-koh--ê,"
都不曾親眼看過。,都毋捌親目看。,to m̄ bat tshin-ba̍k khuànn.,to m̄ bat chhin-ba̍k khòaⁿ.
下課了，老師把阿生叫到旁邊說話：,下課了，老師共阿生叫來邊仔講：,"Hā-khò liáu, lāu-su kā A-sing kiò lâi pinn--á kóng:","Hā-khò liáu,lāu-su kā A-seng kiò lâi piⁿ--á kóng:"
「城鄉交流」，,「城鄉交流」，,"“siânn-hiong kau-liû”,","“siâⁿ-hiong kau-liû”,"
才沒出席，,才會無出席，,"tsiah ē bô tshut-si̍k,","chiah ē bô chhut-se̍k,"
長期推動臺語文運動的李江却臺語文教基金會主張員工薪水要比外面高，,長期推捒臺語文運動的李江却臺語文教基金會主張職員薪水愛比外口較懸，,"tn̂g-kî tshui-sak Tâi-gí-bûn ūn-tōng ê Lí Kang-khioh Tâi-gí bûn-kàu ki-kim-huē tsú-tiunn tsit-uân sin-suí ài pí guā-kháu khah kuân,","tn̂g-kî chhui-sak Tâi-gí-bûn ūn-tōng ê Lí Kang-khioh Tâi-gí bûn-kàu ki-kim-hōe chú-tiuⁿ chit-oân sin-súi ài pí gōa-kháu khah koân,"
你曾看過嗎？,你敢捌看過？,lí kám bat khuànn--kuè?,lí kám bat khòaⁿ--kòe?
礁溪龍潭游泳池是國際標準型的，,礁溪龍潭游泳池是國際標準型的，,"Ta-khe Liông-thâm iû-íng-tî sī kok-tsè piau-tsún-hîng--ê,","Ta-khe Liông-thâm iû-éng-tî sī kok-chè piau-chún-hêng--ê,"
海外就跳過「文字爭議」直接用「漢羅混合」的方式創刊台文雜誌，,海外就跳過「文字爭議」直接用「漢羅濫寫」的方式創刊台文雜誌，,"hái-guā tio̍h thiàu-kuè “bûn-jī tsing-gī” ti̍t-tsiap iōng “Hàn Lô lām siá” ê hong-sik tshòng-khan Tâi-bûn tsa̍p-tsì,","hái-gōa tio̍h thiàu-kòe“bûn-jī cheng-gī”ti̍t-chiap iōng“Hàn Lô lām siá”ê hong-sek chhòng-khan Tâi-bûn cha̍p-chì,"
直接開創戰後的台語文學運動。,直接開創戰後的台語文學運動。,ti̍t-tsiap khai-tshòng tsiàn-āu ê Tâi-gí bûn-ha̍k ūn-tōng.,ti̍t-chiap khai-chhòng chiàn-āu ê Tâi-gí bûn-ha̍k ūn-tōng.
只有台語人在要求「母語權」以外，,干焦台語人佇要求「母語權」以外，,"kan-na Tâi-gí-lâng tī iau-kiû “bó-gí-khuân” í-guā,","kan-na Tâi-gí-lâng tī iau-kiû“bó-gí-khoân”í-gōa,"
阿生的教室突然來了一個要找臨時工的老闆。,阿生的教室雄雄來一个頭家欲揣小工。,A-sing ê kàu-sik hiông-hiông lâi tsi̍t ê thâu-ke beh tshuē sió-kang.,A-seng ê kàu-sek hiông-hiông lâi chi̍t ê thâu-ke beh chhōe sió-kang.
畢業典禮前一個月，有一天，,畢業典禮的一個月前，有一工，,"Pit-gia̍p tián-lé ê tsi̍t kò gue̍h tsîng, ū tsi̍t kang,","Pit-gia̍p tián-lé ê chi̍t kò goe̍h chêng,ū chi̍t kang,"
第四代有從商的，,第四代有做生理的，,"tē-sì tāi ū tsò-sing-lí--ê,","tē-sì tāi ū chò-seng-lí--ê,"
游泳打水花,泅水拍滂泅,siû-tsuí phah-phōng-siû,siû-chúi phah-phōng-siû
我也照父母所傳的方式，,我嘛照爸母所傳的方式，,"guá mā tsiàu pē-bú sóo thuân ê hong-sik,","góa mā chiàu pē-bú só͘ thoân ê hong-sek,"
如果蔣家繼續傳到第三代、第四代，,若是蔣家繼續傳到第三代、第四代，,"nā-sī Tsiúnn--ka kè-sio̍k thuân kàu tē-sann tāi, tē-sì tāi,","nā-sī Chiúⁿ--ka kè-sio̍k thoân kàu tē-saⁿ tāi,tē-sì tāi,"
是有點意外。,是有寡意外。,sī ū kuá ì-guā.,sī ū kóa ì-gōa.
那時，蔣經國已經當上蔣總統了，,彼陣，蔣經國已經做蔣總統矣，,"hit-tsūn, Tsiúnn King-kok í-king tsò Tsiúnn tsóng-thóng--ah,","hit-chūn,Chiúⁿ Keng-kok í-keng chò Chiúⁿ chóng-thóng--ah,"
就比較現場的幾塊布料，,就比辦現場的幾塊仔布料，,"tō pí-pān hiān-tiûnn ê kuí-tè-á pòo-liāu,","tō pí-pān hiān-tiûⁿ ê kúi-tè-á pò͘-liāu,"
跟拜石頭公、溪頭兄、土牛兄，,佮拜石頭公、溪頭兄、塗牛兄，,"kah pài tsio̍h-thâu-kong, khe-thâu-hiann, thôo-gû-hiann,","kah pài chio̍h-thâu-kong,khe-thâu-hiaⁿ,thô͘-gû-hiaⁿ,"
只要等小孩子揀柴生火，,干焦聽候囡仔抾柴燃火，,"kan-tann thìng-hāu gín-á khioh-tshâ hiânn-hué,","kan-taⁿ thèng-hāu gín-á khioh-chhâ hiâⁿ-hóe,"
自然就會有好名聲！,自然就會有好名聲！,tsū-jiân tō ē ū hó miâ-siann!,chū-jiân tō ē ū hó miâ-siaⁿ!
很簡單，,誠簡單，,"tsiânn kán-tan,","chiâⁿ kán-tan,"
「小孩子要那麼多錢幹嘛？」,「囡仔人提遐濟錢欲創啥物？」,“Gín-á-lâng the̍h hiah tsē tsînn beh tshòng siánn-mi̍h?”,“Gín-á-lâng the̍h hiah chē chîⁿ beh chhòng siáⁿ-mi̍h?”
再怎麼樣也不會有人來捧場，,閣較按怎嘛無人會來交關，,"koh-khah án-tsuánn mā bô lâng ē lâi kau-kuan,","koh-khah án-chóaⁿ mā bô lâng ē lâi kau-koan,"
呼籲「口說台語，手寫台文」，,呼籲「喙講台語，手寫台文」，,"hoo-io̍k “tshuì kóng Tâi-gí, tshiú siá Tâi-bûn”,","ho͘-io̍k“chhùi kóng Tâi-gí,chhiú siá Tâi-bûn”,"
提示卡編號：TA_0009,提示卡編號：TA_0009,Thê-sī khá pian-hō : TA_0009,Thê-sī khá pian-hō:TA_0009
他挑東西的速度不慢，,伊咧揀物件的跤手無慢，,"I leh kíng mn̍gh-kiānn ê kha-tshiú bô bān,","I leh kéng mn̍gh-kiāⁿ ê kha-chhiú bô bān,"
一時之間，,一時間，,"tsi̍t-sî-kan,","chi̍t-sî-kan,"
他身上的制服已經換掉，,伊身軀頂的制服已經換掉，,"i sin-khu-tíng ê tsè-ho̍k í-king uānn-tiāu,","i sin-khu-téng ê chè-ho̍k í-keng ōaⁿ-tiāu,"
什麼 kop-ioh-á？,啥物 kop-ioh-á？,siánn-mih kop-ioh-á?,siáⁿ-mih kop-ioh-á?
探頭看我們全家大小的忙碌、高興！,探頭看阮一家伙仔的無閒、歡喜！,"thàm-thâu khuànn gún tsi̍t-ke-hué-á ê bô-îng, huann-hí!","thàm-thâu khòaⁿ gún chi̍t-ke-hóe-á ê bô-êng,hoaⁿ-hí!"
我有時也會去和他們一起喝茶說笑，閒聊殺時間。是懂一些啦。,我有時嘛去參𪜶食茶練痟話，消遣拍抐涼。捌寡啦。,"Guá ū-sî mā khì tsham in tsia̍h-tê liān-siáu-uē, siau-khián phah-lā-liâng. Bat--kuá--lah.","Góa ū-sî mā khì chham in chia̍h-tê liān-siáu-ōe,siau-khián phah-lā-liâng.Bat--kóa--lah."
這篇是對《開墾、播種、繁殖─李江却台語文教基金會十五周年特刊》抓出來的。）,這篇是對《開墾、掖種、生湠─李江却台語文教基金會十五周年特刊》掠出來的。）,"tsit phinn sī uì “khai-khún, iā-tsíng, senn-thuànn ─ Lí Kang Khiok tâi-gí bûn-kàu ki-kim-huē tsa̍p-gōo tsiu-nî ti̍k khan” tiah--tshut-lâi--ê. )","chit phiⁿ sī ùi“khai-khún,iā-chéng,seⁿ-thòaⁿ─Lí Kang Khiok tâi-gí bûn-kàu ki-kim-hōe cha̍p-gō͘ chiu-nî te̍k khan”tiah--chhut-lâi--ê.)"
我們這都嘛化學的，,咱遐攏嘛化學的，,"lán hia lóng mā huà-ha̍k--ê,","lán hia lóng mā hòa-ha̍k--ê,"
有啊，,有nooh，,"ū--nooh,","ū--no͘h,"
我肚子有一點不舒服。,我腹肚有一點仔無爽快。,Guá pak-tóo ū tsi̍t-tiám-á bô sóng-khuài.,Góa pak-tó͘ ū chi̍t-tiám-á bô sóng-khoài.
不過如果太過頭了，,毋過若是傷頭過濟來，,"m̄-koh nā-sī siunn thâu kuè tsē--lâi,","m̄-koh nā-sī siuⁿ thâu kòe chē--lâi,"
為了投奔曹操，,為著欲投奔曹操，,"uī-tio̍h beh tâu-pun Tsô Tshò,","ūi-tio̍h beh tâu-pun Chô Chhò,"
從《台灣語文月報》到《台文通訊》，,對《台灣語文月報》到《台文通訊》，,"uì “Tâi-uân gí-bûn gue̍h pò” kàu “Tâi-bûn thong-sìn”,","ùi“Tâi-oân gí-bûn goe̍h pò”kàu“Tâi-bûn thong-sìn”,"
淑珠就找到文鐘他家那條巷子。,淑珠就揣著文鐘𪜶兜彼條巷仔。,Siok-tsu tiō tshē-tio̍h Bûn-tsing in tau hit tiâu hāng-á.,Siok-chu tiō chhē-tio̍h Bûn-cheng in tau hit tiâu hāng-á.
游泳都嘛要穿泳衣、泳褲去游泳池游啊……」,泅水攏嘛著穿游泳衫、游泳褲去佇游泳池泅啊……」,"siû-tsuí lóng mā tio̍h tshīng iû-íng-sann, iû-íng-khòo khì tī iû-íng-tî siû--ah...”","siû-chúi lóng mā tio̍h chhēng iû-éng-saⁿ,iû-éng-khò͘ khì tī iû-éng-tî siû--ah...”"
或是找寶物，,抑是揣寶貝，,"iah-sī tshuē pó-puè,","iah-sī chhōe pó-pòe,"
那時候，輕工業才剛開始發展，,彼時陣，輕工業才開始發穎，,"Hit-sî-tsūn, khin-kang-gia̍p tsiah khai-sí puh-ínn,","Hit-sî-chūn,khin-kang-gia̍p chiah khai-sí puh-íⁿ,"
領薪水那天，,領月給彼工，,"Niá gue̍h-kip hit kang,","Niá goe̍h-kip hit kang,"
沒辦法繼續讀的，就要掃廁所，為什麼？」,無法度閣讀的，就愛掃便所，為啥物？」,"bô-huat-tōo koh tha̍k--ê, tō ài sàu piān-sóo, uī-siánn-mih?”","bô-hoat-tō͘ koh tha̍k--ê,tō ài sàu piān-só͘,ūi-siáⁿ-mih?”"
你幫我點，好嗎？菜單，我看不懂。,你共我叫，好無？菜單，我看無。,"Lí kā guá kiò, hó--bô? Tshài-tuann, guá khuànn bô.","Lí kā góa kiò,hó--bô?Chhài-toaⁿ,góa khòaⁿ bô."
現在對台北小孩還是那麼好奇，,這馬對台北囡仔猶是遐好奇，,"tsit-ma tuì Tâi-pak gín-á iáu-sī hiah hònn-kî,","chit-ma tùi Tâi-pak gín-á iáu-sī hiah hòⁿ-kî,"
臺語文運動至今已經超過四十年了！,臺語文運動到這馬已經有超過四十冬矣！,Tâi-gí-bûn ūn-tōng kàu tsit-má í-king ū tshiau-kuè sì-tsa̍p tang--ah!,Tâi-gí-bûn ūn-tōng kàu chit-má í-keng ū chhiau-kòe sì-cha̍p tang--ah!
阿生像是中了愛國獎券，,阿生若著愛國獎券咧，,"A-sing ná tio̍h ài-kok tsióng-kuàn--leh,","A-seng ná tio̍h ài-kok chióng-koàn--leh,"
開始準備「做生意」！,開始準備「做生理」！,khai-sí tsún-pī “tsuè-sing-lí”!,khai-sí chún-pī“chòe-seng-lí”!
他挑東西的速度不慢，,伊咧揀物件的跤手無慢，,"I teh kíng mi̍h-kiānn ê kha-tshiú bô bān,","I teh kéng mi̍h-kiāⁿ ê kha-chhiú bô bān,"
接著，文鐘的奶奶請淑珠進去家裡坐。,紲落，文鐘的阿媽請淑珠入去厝裡坐。,"suà--lo̍h, Bûn-tsing ê a-má tshiánn Siok-tsu ji̍p-khì tshù--lí tsē.","sòa--lo̍h,Bûn-cheng ê a-má chhiáⁿ Siok-chu ji̍p-khì chhù--lí chē."
淑珠還不怎麼習慣。,淑珠猶無啥慣勢。,Siok-tsu iah bô sánn kuàn-sì.,Siok-chu iah bô sáⁿ koàn-sì.
幸好有幾塊過年過節用的紅絲絨布。,佳哉有幾塊年仔節仔合用的紅絲仔布。,ka-tsài ū kuí tèr nî-á tsueh-á ha̍h-īng ê âng si-á-pòo.,ka-chài ū kúi tèr nî-á choeh-á ha̍h-ēng ê âng si-á-pò͘.
累積寫作經驗與作品，,累積寫作經驗佮作品，,"luí-tsik siá-tsok king-giām kah tsok-phín,","lúi-chek siá-chok keng-giām kah chok-phín,"
他偷畫本國地圖，,伊偷畫本國地圖，,"i thau uē pún-kok tē-tôo,","i thau ōe pún-kok tē-tô͘,"
社會上的怪事,社會的奇怪代,siā-huē ê kî-kuài-tāi,siā-hōe ê kî-koài-tāi
認真研究台語文，,認真研究台語文，,"līn-tsin gián-kiù Tâi-gí-bûn,","līn-chin gián-kiù Tâi-gí-bûn,"
"總共七百四十六元,找你五十四元","攏總七百四十六箍,找你五十四箍","lóng-tsóng tshit-pah sì-tsa̍p-la̍k khoo, tsāu lí gōo-tsa̍p-sì khoo","lóng-chóng chhit-pah sì-cha̍p-la̍k kho͘,chāu lí gō͘-cha̍p-sì kho͘"
提示卡編號：TA_0009,提示卡編號：TA_0009,Thê-sī khá pian-hō : TA_0009,Thê-sī khá pian-hō:TA_0009
子孫也才肯、才會保存、採用。,囝孫嘛才肯、才會欲保存、採用。,"kiánn-sun mā tsiah khíng, tsiah ē beh pó-tsûn, tshái-iōng.","kiáⁿ-sun mā chiah khéng,chiah ē beh pó-chûn,chhái-iōng."
今天是七月六日，星期六,今仔日是七月初六，拜六,"kin-á-ji̍t sī tshit-gue̍h tshe-la̍k, pài-la̍k","kin-á-ji̍t sī chhit-goe̍h chhe-la̍k,pài-la̍k"
臺灣人還得再次表態歸順，,臺灣人著閣再歸順表態一遍，,"Tâi-uân-lâng tio̍h koh-tsài kui-sūn piáu-thài tsi̍t piàn,","Tâi-oân-lâng tio̍h koh-chài kui-sūn piáu-thài chi̍t piàn,"
他正利用休息時間，,伊當咧利用歇睏時間，,"i tng-leh lī-iōng hioh-khùn sî-kan,","i tng-leh lī-iōng hioh-khùn sî-kan,"
這間很讚！我常常來，他們的菜都很好吃。,這間真讚！我常常來，𪜶的菜攏真好食。,"Tsit king tsin tsán! Guá siông-siông lâi, in ê tshài lóng tsin hó tsia̍h.","Chit keng chin chán!Góa siông-siông lâi,in ê chhài lóng chin hó chia̍h."
當台灣還像三零年代在爭論台語要怎麼寫成漢字的時候，,當台灣猶親像三空年代咧爭論台語欲按怎寫做漢字的時，,"tong Tâi-uân iáu tshin-tshiūnn sam khòng nî-tāi teh tsing-lūn Tâi-gí beh án-tsuánn siá tsò hàn-jī ê sî,","tong Tâi-oân iáu chhin-chhiūⁿ sam khòng nî-tāi teh cheng-lūn Tâi-gí beh án-chóaⁿ siá chò hàn-jī ê sî,"
還叫人說明解說。,閣叫人說明解說。,koh kiò lâng sueh-bîng kái-sueh.,koh kiò lâng soeh-bêng kái-soeh.
才會有一九三零年代的「台灣話文論戰」，,毋才會有一九三零年代的「台灣話文論戰」，,"m̄-tsiah ū it kiú sam khòng nî-tāi ê “Tâi-uân uē-bûn lūn-tsiàn”,","m̄-chiah ū it kiú sam khòng nî-tāi ê“Tâi-oân ōe-bûn lūn-chiàn”,"
之後才換大同國小的學生來田中央遊玩。,後來才換大同國小的學生來田中央𨑨迌。,āu--lâi tsiah uānn Tāi-tông kok-sió ê ha̍k-sing lâi tshân-tiong-ng tshit-thô.,āu--lâi chiah ōaⁿ Tāi-tông kok-sió ê ha̍k-seng lâi chhân-tiong-ng chhit-thô.
他偷畫本國地圖，,伊偷畫本國地圖，,"i thau uē pún-kok tuē-tôo,","i thau ōe pún-kok tōe-tô͘,"
這個孩子在學校若有得罪的地方，,這个囡仔佇學校若有得罪的所在，,"tsit ê gín-á tī ha̍k-hāu nā ū tit-tsuē ê sóo-tsāi,","chit ê gín-á tī ha̍k-hāu nā ū tit-chōe ê só͘-chāi,"
也造就很多台文作家，,嘛造就真濟台文作家，,"mā tsō-tsiū tsin tsē Tâi-bûn tsok-ka,","mā chō-chiū chin chē Tâi-bûn chok-ka,"
蔡培火從日本時代就為了臺灣人而奮鬥，,蔡培火佇日本時代就為臺灣人拍拚，,"Tshuà Puē-hué tī Ji̍t-pún Sî-tāi tō uī Tâi-uân-lâng phah-piànn,","Chhòa Pōe-hóe tī Ji̍t-pún Sî-tāi tō ūi Tâi-oân-lâng phah-piàⁿ,"
加上太陽很大很容易曬傷，,加上日頭炎炎𠢕咬人，,"ka-siōng ji̍t-thâu iām-iām gâu kā--lâng,","ka-siōng ji̍t-thâu iām-iām gâu kā--lâng,"
舊城圳溝（八千代川）的東邊跟南段雖然在我們身邊的生活中，,舊城圳溝（八千代川）的東爿佮南段雖然佇生活中的身軀邊，,"kū-siânn tsùn-kau ( Pat-tshian-tāi-tshuan ) ê tang-pîng kah lâm-tuānn sui-jiân tī sing-ua̍h-tiong ê sin-khu-pinn,","kū-siâⁿ chùn-kau(Pat-chhian-tāi-chhoan)ê tang-pêng kah lâm-tōaⁿ sui-jiân tī seng-oa̍h-tiong ê sin-khu-piⁿ,"
我的護照號碼是七九一三六二五零五,我的護照號碼是七九一三六二五零五,guá ê hōo-tsiàu hō-bé sī tshit kiú it sam lio̍k jī ngóo khòng ngóo,góa ê hō͘-chiàu hō-bé sī chhit kiú it sam lio̍k jī ngó͘ khòng ngó͘
值得教育者的重視。,值得教育者的重視。,ta̍t-tit kàu-io̍k-tsiá ê tiōng-sī.,ta̍t-tit kàu-io̍k-chiá ê tiōng-sī.
爸爸如果開口說要去戲水打水花，,爸爸若開喙講欲去泅水拍滂泅，,"pa-pa nā khui-tshuì kóng beh khì siû-tsuí phah-phōng-siû,","pa-pa nā khui-chhùi kóng beh khì siû-chúi phah-phōng-siû,"
「台文筆會」的成員有很多台文作家是直接或者是間接受著《台文通訊》的影響跟造就，,「台文筆會」的成員有真濟台文作家是直接或者是間接受著《台文通訊》的影響佮造就，,"“Tâi-bûn pit-huē” ê sîng-guân ū tsin tsē Tâi-bûn tsok-ka sī ti̍t-tsiap hi̍k-tsiá sī kan-tsiap siū-tio̍h “Tâi-bûn thong-sìn” ê íng-hióng kah tsō-tsiū,","“Tâi-bûn pit-hōe”ê sêng-goân ū chin chē Tâi-bûn chok-ka sī ti̍t-chiap he̍k-chiá sī kan-chiap siū-tio̍h“Tâi-bûn thong-sìn”ê éng-hióng kah chō-chiū,"
