中文,台文,台羅
對一般人來說，每個月三千元並不算多，但是對獨居沒有收入的老人來說，三千元或許就是救命錢了。,對一般人來講，每個月三千箍並無算濟，但是對獨居無收入的序大人來講，三千箍敢彩就是救命錢矣。,tuì it-puann-lâng lâi-kóng，muí-kóo-gue̍h sann-tshing-khoo pīng-bô-sǹg-tsē，tān-sī tuì to̍k-ki bô-siu-ji̍p ê sī-tuā-lâng lâi-kóng，sann-tshing-khoo kám-tshái tsiū-sī kiù-bīng-tsînn 0ah。
高雄市政府為全市六十五歲以上的老人，免費裝假牙，對老人來說是相當貼心的措施，也贏得好評。,高雄市政府為全市六十五歲以上的序大人，免費裝假喙齒，對序大人來講是相當貼心的措施，也贏著好評。,ko-hiông-tshī-tsìng-hú uī tsuân-tshī la̍k-tsa̍p-gōo-huè í-siōng-ê sī-tuā-lâng，bián-huì tsng-ké-tshuì-khí，tuì sī-tuā-lâng lâi-kóng sī siong-tong tah-sim-ê tshòo-si，iā iânn-tio̍h hó-phîng。
因為高雄市政府就是想到老人，可能沒有辦法花那麼多錢，好好照顧自己。,因為高雄市政府就是想著序大人，可能無辦法開遐濟錢，好好照顧家己。,in-uī ko-hiông-tshī-tsìng-hú tsiū-sī siūnn-tio̍h sī-tuā-lâng，khó-lîng bô-pān-huat khai-hiah-tsuē-tsînn，hó-hó tsiàu-kòo ka-kī。
三千元的老人年金，就是希望讓需要的老人，能夠多疼自己一點。,三千箍的老人年金，就是希望予需要的序大人，會用較迵家己一寡仔。,sann-tshing-khoo ê lāu-lâng-nî-kim，tsiū-sī hi-bōng hōo-su-iàu-ê sī-tuā-lâng，ē-īng khah-thàng ka-kī tsi̍t-kuá-á。
大學生桌頭林良憲愛上神明事。台中教育大學台語文系學生林良憲，是台南縣後壁鄉土溝村村內，對「神明事」來說，唯一的大學生「桌頭」，家人認為與自幼連串「靈感」有關，對林良憲他發願，致力保存台灣民俗文化表示支持。,大學生桌頭林良憲愛著神明事。臺中教育大學臺語文系學生林良憲，是臺南縣後壁鄉土溝村村內，對「神明事」來講，唯一的大學生「桌頭」，厝內人認為和自細漢相連紲「靈感」有關，對林良憲伊發願，盡力保存臺灣民俗文化表示支持。,tāi-ha̍k-sing toh-thâu lîm-liâng-hiàn ài-tio̍h sîn-bîng-sū. tâi-tiong-kàu-io̍k-tāi-ha̍k tâi-gí-bûn-hē ha̍k-sing lîm-liâng-hiàn，sī tâi-lâm-kuān āu-piah-hiong thóo-kau-tshuan tshuan-lāi，tuì「sîn-bîng-sū」lâi-kóng，uî-it-ê tāi-ha̍k-sing「toh-thâu」，tshù-lāi-lâng jīn-uî hâm tsū-sè-hàn sann-liân-suà「lîng-kám」iú-kuan，tuì lîm-liâng-hiàn i huat-guān，tsīn-la̍t pó-tsûn tâi-uân-bîn-sio̍k-bûn-huà piáu-sī tsi-tshî。
近來在後壁鄉泰安宮，媽祖廟遶境進香、顯濟宮刈水火等活動，都可見到一名年輕人參與扛轎、記錄的身影，引起信徒注目，經過探詢，是現在就讀台中教育大學，台灣語文學系二年級的林良憲。,近來佇後壁鄉泰安宮，媽祖廟踩街進香、顯濟宮刈水火頂活動，攏會看著一名少年人參與扛轎、記錄的身影，引起信徒注目，經過探詢，是這馬就讀臺中教育大學，臺灣語文夏二年級的林良憲。,kīn-lâi tī āu-piah-hiong thài-an-kiong，má-tsóo-biō tshái-kue tsìn-hiunn、hián-tsè-kiong guē-tsuí-hué tíng ua̍h-tāng，lóng-ē khuànn-tio̍h tsi̍t-miâ siàu-liân-lâng tsham-ú kng-kiō、kì-lo̍k ê sin-iánn，ín-khí sìn-tôo tsù-bo̍k，king-kè thàm-sûn，sī tsit-má tsiū-tho̍k tâi-tiong-kàu-io̍k-tāi-ha̍k，tâi-uân-gí-bûn-hē jī-nî-kip ê lîm-liâng-hiàn。
林良憲說，自幼與鄰居玩耍時，就是喜歡玩與神明事有關的遊戲，甚至自製神轎等「玩具」，家中供奉的元帥、太子爺、觀音佛祖等神明，只要在家，都會親自燒香供奉。,林良憲講，自細漢和厝邊𨑨迌時，都是佮意耍和神明事有關的𨑨迌，甚至自製神轎頂「𨑨迌物」，厝內服侍的元帥、太子爺、觀音佛祖頂神明，只要佇厝，攏會親自燒香服侍。,lîm-liâng-hiàn kóng，tsū-sè-hàn hâm tshù-pinn tshit-thô-sî，to-sī kah-ì-sńg hâm sîn-bîng-sū iú-kuan-ê tshit-thô，sīm-tsì tsū-tsè sîn-kiō tíng「tshit-thô-mi̍h」，tshù-lāi ho̍k-sāi ê guân-suè、thài-tsú-iâ、kuan-im-hu̍t-tsóo tíng sîn-bîng，tsí-iàu tī-tshù，lóng-ē tshin-tsū sio-hiunn ho̍k-sāi。
讀大學之後，希望對於台灣的民俗文化，有更深入的體認，今年的新港媽祖會香、大甲媽祖遶境、苗栗白沙屯媽祖遶境，除了前往廟內當志工，也參與遶境活動，返鄉也參加泰安宮媽祖遶境活動，以及顯濟宮保生大帝刈水火。,讀大學了後，希望對於臺灣的民俗文化，有較深入的體任，今年的新港媽祖會香、大甲媽祖踩街、苗栗白沙頓媽祖踩街，除了前往廟內做志工，抑參與踩街活動，返鄉抑參加泰安宮媽祖踩街活動，以及顯濟宮保生大帝刈水火。,tha̍k-tāi-ha̍k liáu-āu，hi-bōng tuì-î tâi-uân-ê bîn-sio̍k-bûn-huà，ū khah-tshim-ji̍p ê thé-jīm，kin-nî-ê sin-káng-má-tsóo huē-hiunn、tāi-kah-má-tsóo tshái-kue、biâu-li̍k pe̍h-sua-tùn-má-tsóo tshái-kue，tû-liáu tsiân-óng biō-lāi tsò tsì-kang，ia̍h tsham-ú tshái-kue ua̍h-tāng，huán-hiong ia̍h tsham-ka thài-an-kiong má-tsóo tshái-kue ua̍h-tāng，í-ki̍p hián-tsè-kiong pó-sing-tāi-tè guē-tsuí-hué。
林良憲的父親林永崙表示，兒子熱中神明事似乎有「神跡可尋」，因為他幼時體弱多病，三兩天就跑大小診所、醫院，甚至住進加護病房，每次兒子一有病痛，家中對面神壇的觀音佛祖，就會鑾駕起乩作法，時間相當巧合。,林良憲的老爸林永崙表示，後生熱心神明事若像有「神跡凍揣」，因為伊細漢時荏身命，三兩工都走大小診所、醫院，甚至蹛入加護病房，每擺後生一有病疼，厝內對面神壇的觀音佛祖，都會鑾駕起童作法，時間相當巧合。,lîm-liâng-hiàn ê lāu-pē lîm-íng-lûn piáu-sī，hāu-sinn jia̍t-sim sîn-bîng-sū ná-tshiūnn-ū「sîn-jiah tàng-tshuē」，in-uī i sè-hàn-sî lám-sin-miā，sann-nn̄g-kang to-tsáu tuā-sió-tsín-sóo、pēnn-īnn，sīm-tsì tuà-ji̍p ka-hōo-pēnn-pâng，muí-pái hāu-sinn tsi̍t-ū pēnn-thiànn，tshù-lāi tuì-bīn sîn-tuânn ê kuan-im-hu̍t-tsóo，to-ē luân-kà khí-tâng tsok-huat，sî-kan siong-tong khá-ha̍p。
國防部無償提供土地布袋戲傳習中心有地方了。國防部二十七日同意，無償提供將近十八公頃土地，把舊虎尾空軍基地給雲林縣縣政府，讓延宕三年的虎尾布袋戲傳習中心，向前跨出一大步，雲林縣縣長蘇治芬表示，將積極向中央爭取建設經費二十六億。,國防部免費提供土地布袋戲傳習中心有所在抑。國防部二十七號同意，免費提供倚欲十八公頃土地，共舊虎尾空軍基地予雲林縣縣政府，予延延三年的虎尾布袋戲傳習中心，向前伐出一大步，雲林縣縣長蘇治芬表示，欲積極向中央爭取建設經費二十六億。,kok-hông-pōo bián-huì thê-kiong thóo-tē pòo-tē-hì thuân-si̍p-tiong-sim ū-sóo-tsāi-ah. kok-hông-pōo jī-tsa̍p-tshit-hō tông-ì，bián-huì thê-kiong uá-beh tsa̍p-peh kong-khíng thóo-tē，kā kū hóo-bué khong-kun-ki-tuē hōo hûn-lîm-kuān-kuān-tsìng-hú，hōo iân-tshiân sann-nî ê hóo-bué pòo-tē-hì thuân-si̍p-tiong-sim，hiòng-tsîng hua̍h-tshut tsi̍t-tuā-pōo，hûn-lîm-kuān-kuān-tiúnn soo-tī-hun piáu-sī，beh tsik-ki̍k hiòng tiong-iang tsing-tshú kiàn-siat king-huì jī-tsa̍p-la̍k-ik。
布袋戲是雲林重要文化特色之一，縣政府二零零六年向文建會提案，在舊虎尾空軍基地，設置「文化生活產業園區布袋戲傳習中心」，獲得八百萬元先期規劃費補助，去年八月完成，但是因為土地是國防部所有，國防部不想要提供土地，後續包括細部設計、環評及工程都無法進行。,布袋戲是雲林重要文化特色之一，縣政府二空空六年向文建會提案，佇舊虎尾空軍基地，設置「文化生活產業園區布袋戲傳習中心」，獲得八百萬先期規劃費補助，舊年八月完成，但是因為土地是國防部所有，國防部無想欲提供土地，後紲包括細部設計、環評佮工程攏無法進行。,pòo-tē-hì sī hûn-lîm tiōng-iàu bûn-huà-ti̍k-sik tsi-it，kuān-tsìng-hú jī-khòng-khòng-lio̍k-nî hiòng bûn-kiàn-huē thê-àn，tī kū hóo-bué khong-kun-ki-tuē，siat-tì「bûn-huà-sing-ua̍h sán-gia̍p-hn̂g-khu pòo-tē-hì thuân-si̍p-tiong-sim」，hi̍k-tik peh-pah-bān sian-kî kui-uē-huì póo-tsōo，kū-nî peh-gue̍h uân-sîng，tān-sī in-uī thóo-tē sī kok-hông-pōo sóo-iú，kok-hông-pōo bô-siūnn-bueh thê-kiong thóo-tē，āu-suà pau-kuat suè-pōo siat-kè、khuân-phîng kap kang-tîng lóng-bô-huat tsìn-hîng。
昨天國防部「傾聽雲林民意列車」，抵達雲林縣政府，國防部長陳肇敏，在與地方鄉鎮首長座談時，終於點頭同意無償提供土地，縣政府文化處指出，文化生活產業園區，位在舊虎尾空軍基地內，靠近高鐵特定區，總面積八十五公頃，國防部同意釋出三十五公頃，十七點八公頃給縣政府、十七多公頃給虎尾科技大學擴校，另外的五十公頃土地，國防部規劃，做為中部地區後備訓練用地。,昨日國防部「傾聽雲林民意列車」，到地雲林縣政府，國防部長陳肇敏，佇和地方鄉鎮首長座談時，總算頕頭同意免費提供土地，縣政府文化處指出，文化生活產業園區，位佇舊虎尾空軍基地內，倚近高鐵特定區，總面積八十五公頃，國防部同意釋出三十五公頃，十七點八公頃予縣政府、十七寡公頃予虎尾科技大學擴校，另外的五十公頃土地，國防部規劃，做為中部地區後備訓練用地。,tso̍h-ji̍t kok-hông-pōo「khing-thing hûn-lîm bîn-ì lia̍t-tshia」，kàu-tè hûn-lîm-kuān-tsìng-hú，kok-hông-pōo-tiúnn tân-tiāu-bín，tī hâm tē-hng hiong-tìn siú-tiúnn tsō-tâm-sî，tsóng-sǹg tàm-thâu tông-ì bián-huì thê-kiong thóo-tē，kuān-tsìng-hú bûn-huà-tshù tsí-tshut，bûn-huà-sing-ua̍h sán-gia̍p-hn̂g-khu，uī-tī kū hóo-bué khong-kun-ki-tuē lāi，uá-kūn ko-thih ti̍k-tīng-khu，tsóng-biān-tsik peh-tsa̍p-gōo kong-khíng，kok-hông-pōo tông-ì sik-tshut sann-tsa̍p-gōo kong-khíng，tsa̍p-tshit-tiám-peh kong-khíng hōo kuān-tsìng-hú、tsa̍p-tshit kuá kong-khíng hōo hóo-bué-kho-ki-tāi-ha̍k khok-hāu，līng-guā-ê gōo-tsa̍p kong-khíng thóo-tē，kok-hông-pōo kui-uē，tsò-uî tiong-pōo-tē-khu āu-pī hùn-liān-īng-tē。
文化處表示，園區規劃分為五大部分，分別為布袋戲博物館區、藝術表演館區、布袋戲演藝學苑區、布袋戲主題旅館區、文化創意主題公園區，園區定位，不只是國家級的教育傳習、展覽機構，也兼具主題性觀光功能。,文化處表示，園區規劃分為五大部分，分別為布袋戲博物館區、藝術表演館區、布袋戲演藝學苑區、布袋戲主題旅館區、文化創意主題公園區，園區定位，毋若是國家級的教育傳習、展覽機構，嘛兼具主題性觀光功能。,bûn-huà-tshù piáu-sī，hn̂g-khu kui-uē hun-uî gōo-tuā pōo-hūn，hun-pia̍t-uî pòo-tē-hì phok-bu̍t-kuán-khu、gē-su̍t-piáu-ián kuán-khu、pòo-tē-hì ián-gē ha̍k-uán-khu、pòo-tē-hì tsú-tuê lú-kuán-khu、bûn-huà-tshòng-ì tsú-tuê kong-hn̂g-khu，hn̂g-khu tīng-uī，m̄-nā-sī kok-ka-kip ê kàu-io̍k thuân-si̍p、tián-lám-ki-kòo，mā-kiam-khū tsú-tuê-sìng kuan-kong kong-lîng。
縣長蘇治芬強調，未來園區與虎尾科技大學校園結合，成為大學文化城，努力三年用地取得終於定案，縣政府鬆了一口氣，更讓布袋戲傳習中心興建，向前跨一大步，後續細部設計及建設經費，大約二十六億，希望中央也能儘快核准。,縣長蘇治芬強調，未來園區和虎尾科技大學校園結合，成做大學文化城，努力三年用地取得總算定案，縣政府鬆了一口氣，閣予布袋戲傳習中心興建，向前伐一大步，後紲細部設計佮建設經費，大約二十六億，希望中央嘛會儘快核准。,kuān-tiúnn soo-tī-hun kiông-tiāu，bī-lâi hn̂g-khu hâm hóo-bué-kho-ki-tāi-ha̍k hāu-hn̂g kiat-ha̍p，tsiânn-tsuè tāi-ha̍k bûn-huà-siânn，lóo-li̍k sann-nî īng-tē tshú-tit tsóng-sǹg tīng-àn，kuān-tsìng-hú sang-liáu tsi̍t-kháu-khuì，koh-hōo pòo-tē-hì thuân-si̍p-tiong-sim hing-kiàn，hiòng-tsîng hua̍h-tsi̍t-tuā-pōo，āu-suà suè-pōo siat-kè kap kiàn-siat king-huì，tāi-iok jī-tsa̍p-la̍k-ik，hi-bōng tiong-iang mā-ē tsīn-khuài hi̍k-tsún。
爭取故宮分院有成嘉義縣政府推紀錄片。爭取故宮分院到嘉義，是嘉義縣縣長陳明文的一大政績，這個過程有多辛苦，嘉義縣民和縣府團隊，爭取這項重大建設有多用心？,爭取故宮分院有成嘉義縣政府捒紀錄片。爭取故宮分院到嘉義，是嘉義縣縣長縣長陳明文的一大政績，這个過程有偌辛苦，嘉義縣民佮縣府團隊，爭取這項重大建設有偌用心？,tsing-tshú kòo-kiong-hun-īnn ū-sîng ka-gī-kuān-tsìng-hú sak kì-lo̍k-phìnn. tsing-tshú kòo-kiong-hun-īnn kàu ka-gī，sī ka-gī-kuān kuān-tiúnn kuān-tiúnn tân-bîng-bûn ê tsi̍t-tuā-tsìng-tsik，tsit-ê kuè-tîng ū-guā-sin-khóo，ka-gī-kuān-bîn kap kuān-hú-thuân-tuī，tsing-tshú tsit-hāng tiōng-tāi-kiàn-siat ū-guā-iōng-sim？
來看嘉義縣政府推出的紀錄片，最近完成的一卷影像紀錄。,來看嘉義縣政府政府捒出的紀錄片，最近完成的一蜷影像紀錄。,lâi-khuànn ka-gī-kuān-tsìng-hú tsìng-hú sak-tshut ê kì-lo̍k-phìnn，tsuè-kūn uân-sîng-ê tsi̍t-khûn íng-siōng kì-lio̍k。
這一塊影帶，紀錄了嘉義人的過去和現在，也是給了嘉義人未來的希望。,這塊影帶，紀錄了嘉義人的過去佮現在，抑是予了嘉義人未來的希望。,tsit-tè iánn-tuà，kì-lio̍k-liáu ka-gī-lâng ê kuè-khì kap hiān-tsāi，ia̍h-sī hōo-liáu ka-gī-lâng bī-lâi-ê hi-bōng。
影帶的主題是，故宮分院在嘉義的未來。,影帶的主題是，故宮分院佇嘉義的未來。,iánn-tuà ê tsú-tuê-sī，kòo-kiong-hun-īnn tī ka-gī ê bī-lâi。
畫面上，嘉義縣長陳明文在台糖空地，高興的跳躍。,畫面上，嘉義縣長陳明文佇臺糖空地，歡喜的趒跳。,uē-bīn-siōng，ka-gī-kuān-tiúnn tân-bîng-bûn tī tâi-thn̂g khang-tuē，huann-hí ê tiô-thiàu。
影帶記錄了縣府團隊，爭取故宮分院的辛苦歷程。,影帶記錄了縣府團隊，爭取故宮分院的辛苦歷程。,iánn-tuà kì-lio̍k-liáu kuān-hú-thuân-tuī，tsing-tshú kòo-kiong-hun-īnn ê sin-khóo li̍k-tîng。
成為嘉義縣第一位民進黨籍縣長，在嘉義政黨勢均力敵的戰況下，陳明文競選連任的壓力很大。,成做嘉義縣第一位民進黨籍縣長，佇嘉義政黨勢力有扳的戰況下，陳明文競選連任的壓力真大。,tsiânn-tsuè ka-gī-kuān tē-it-uī bîn-tsìn-tóng-tsi̍k kuān-tiúnn，tī ka-gī tsìng-tóng sè-li̍k-ū-penn ê tsiàn-hóng-hā，tân-bîng-bûn kīng-suán liân-jīm-ê ap-li̍k tsin-tuā。
這一支雖然是政績錄影帶，但是充分紀錄民眾的心聲，讓中央感受到，故宮分院南下地方的重要。,這支雖然是政績錄影帶，但是充分紀錄民眾的心聲，予中央感受著，故宮分院南下地方的重要。,tsit-ki sui-jiân-sī tsìng-tsik lio̍k-iánn-tuà，tān-sī tshiong-hun kì-lio̍k bîn-tsiòng-ê sim-siann，hōo tiong-iong kám-siū-tio̍h，kòo-kiong-hun-īnn lâm-hā tuē-hong-ê tiōng-iàu。
東西方藝術魔力衛武營強力放送。「舞‧影之悸動」、「TAIWAN文化起飛～東方戲劇傳奇走向世界」，兩場精彩活動，九日陸續開始推出，在高雄市衛武營藝術文化中心登場，已經開始受理民眾免費索票。,東西風藝術魔力衛武營強力放送。「舞‧影之悸動」、「TAIWAN文化起飛～東方戲劇傳奇行向世界」，兩場精彩活動，九號陸續開始推出，佇高雄市衛武營藝術文化中心上場，已經開始受理民眾免費提票。,tang-sai-hong gē-su̍t môo-li̍k uē-bú-iânn kiông-li̍k hòng-sàng. 「bú‧iánn-tsi-kuī-tōng」、「TAIWAN bûn-huà khí-pue～tong-hong hì-ki̍k thuân-kî kiânn-hiàng sè-kài」，nn̄g-tiûnn tsing-tshái ua̍h-tāng，káu-hō lio̍k-sio̍k khai-sí thui-tshut，tī ko-hiông-tshī uē-bú-iânn gē-su̍t-bûn-huà-tiong-sim tsiūnn-tiûnn，í-king khai-sí siū-lí bîn-tsiòng bián-huì the̍h-phiò。
台北藝術推廣協會舉辦的「舞‧影之悸動」活動，挑選Belgian終極現代舞團，藝術總監Wim．Vandekeybus，歷年來拍攝的舞蹈電影，以及純粹敘述情節電影作品，讓觀眾透過影展，透視這位身兼導演、編舞、舞者多元身分的藝術家，觀察他內心深處的創作思維。,臺北藝術推廣協會舉辦的「舞‧影之悸動」活動，挑選Belgian終極現代舞團，藝術總監Wim．Vandekeybus，歷年來翕的舞蹈電影，以及純粹敘述情節電影作品，予觀眾透過影展，透視這位身兼導演、翩舞、舞者多元身分的藝術家，觀察伊內心深處的創作思維。,tâi-pak gē-su̍t thui-kóng-hia̍p-huē kú-pān-ê「bú‧iánn-tsi-kuī-tōng」ua̍h-tāng，thiau-suán Belgian tsiong-ki̍k-hiān-tāi-bú-thuân，gē-su̍t tsóng-kàm Wim．Vandekeybus，li̍k-nî-lâi hip-ê bú-tō tiān-iánn，í-ki̍p sûn-tshuì sū-su̍t tsîng-tsat tiān-iánn tsok-phín，hōo kuan-tsiòng thàu-kuè iánn-tián，thàu-sī tsit-uī sin-kiam tō-ián、phian-bú、bú-tsiá to-guân sin-hūn-ê gē-su̍t-ka，kuan-tshat i lāi-sim tshim-tshù-ê tshòng-tsok su-uî。
讓觀眾從DanceVideo探討人生課題，是難得的體驗。,予觀眾對DanceVideo探討人生課題，是難得的體驗。,hōo kuan-tsiòng tuì Dance Video thàm-thó jîn-sing khò-tuê，sī lân-tit-ê thé-giām。
