台文,台羅,中文
今仔日的日子是好抑䆀？,Kin-á-ji̍t ê ji̍t-tsí sī hó ia̍h bái? ,今天的日子好不好？指今天在黃曆上有沒有沖剋。
日子真歹過。,Ji̍t-tsí tsin pháinn kuè. ,生活真艱困。
這个木匠做的木工袂䆀。,Tsit ê ba̍k-tshiūnn tsò ê ba̍k-kang bē-bái. ,這個木工做的工藝品不錯。
就是你無來，毋才愛請伊來鬥相共！,"Tō sī lí bô lâi, m̄-tsiah ài tshiánn i lâi tàu-sann-kāng! ",因為你沒來，所以才要請他來幫忙！
若水土袂合就真𠢕破病。,Nā tsuí-thóo bē-ha̍h tō tsin gâu phuà-pēnn. ,如果水土不服很容易生病。
對天井看出去，拄好會當看著月娘。,"Tuì thinn-tsénn khuànn--tshut-khì, tú-hó ē-tàng khuànn tio̍h gue̍h-niû. ",從天井看出去，剛好可以看到月亮。
阿母當咧天井內曝被。,A-bú tng leh thinn-tsénn lāi pha̍k phuē. ,媽媽正在天井裡曬被子。
天公疼戇人。,Thinn-kong thiànn gōng-lâng. ,老天爺疼愛老實人。
較早的人講，查某人月內若無做好，後擺身體會較䆀。,"Khah-tsá ê lâng kóng, tsa-bóo-lâng gue̍h-lāi nā bô tsò hó, āu-pái sin-thé ē khah bái. ",以前人說，女人若在產後沒有把月子做好，以後身體會比較不好。
舊曆正月初九是天公生。,Kū-li̍k tsiann gue̍h tshe-káu sī Thinn-kong-senn. ,農曆正月初九是玉皇大帝的誕辰。
一个某較好三个天公祖。,Tsi̍t ê bóo khah hó sann ê Thinn-kong-tsóo. ,一個好老婆勝過三個老天爺保佑。比喻太太至上之意。
拄才猶咧出日頭，這馬煞咧反天矣。,"Tú-tsiah iáu teh tshut ji̍t-thâu, tsit-má suah teh huán-thinn--ah. ",剛剛還出大太陽，現在卻變天了。
我限你一月日以內，共欠的錢還了。,"Guá hān lí tsi̍t gue̍h-ji̍t í-lāi, kā khiàm ê tsînn hîng liáu. ",我給你一個月的時間，把欠的錢還完。
這幾工攏是歹天。,Tsit kuí kang lóng sī pháinn-thinn. ,這幾天天氣都不好。
做人毋通遐歹心。,Tsò-lâng m̄-thang hiah pháinn-sim. ,做人心腸不要那麼壞。
伊真歹手爪，你愛較注意咧。,"I tsin pháinn-tshiú-jiáu, lí ài khah tsù-ì--leh. ",他很愛偷竊，你要注意一點。
伊看著人攏文文仔笑。,I khuànn tio̍h lâng lóng bûn-bûn-á-tshiò. ,他看到人總是微微笑著。
準做天反地亂，你嘛袂用得烏白來。,"Tsún-tsò thinn-huán-tē-luān, lí mā bē-īng-tit oo-pe̍h lâi. ",就算是天下大亂，你也不能亂來。
煎魚仔愛會曉反爿。,Tsian-hî-á ài ē hiáu píng-pîng. ,煎魚要會翻面。
這件代誌講起來就心火著。,Tsit kiānn tāi-ts kóng--khí-lâi tō sim-hué-to̍h. ,這件事情一說起來就生氣。
逐家攏知影伊歹手爪。,Ta̍k-ke lóng tsai-iánn i pháinn-tshiú-jiáu. ,大家都知道他的手腳不乾淨，即指有偷竊的惡習。
你去共我買一个酒斗仔。,Lí khì kā guá bé tsi̍t ê tsiú-táu-á. ,你去幫我買一個裝酒的小容器。
勸世歌是咧勸人毋通做歹代的。,Khuàn-sè-kua sī teh khǹg lâng m̄-thang tsò pháinn-tāi--ê. ,勸世歌是在勸人不可以做壞事的。
好代毋通知，歹代直直來交纏。,"Hó tāi m̄ thong-ti, pháinn-tāi ti̍t-ti̍t lâi kau-tînn. ",好事、好消息不來報喜，壞事、壞消息卻一直來糾纏。比喻壞事連連。
伊愛閣月外日才會轉來。,I ài koh gue̍h-guā-ji̍t tsiah ē tńg--lâi. ,他還要一個多月才會回來。
天下太平。,Thian-hā thài-pîng. ,天下太平。
逐个人若攏忍一下，就天下太平矣。,"Ta̍k ê lâng nā lóng lún--tsi̍t-ē, tō thian-hā thài-pîng--ah. ",若是每個人都能稍微忍耐一下，就會天下太平了。
伊佮阿仁原本感情誠好，近來煞為著生理的代誌反目。,"I kah a jîn guân-pún kám-tsîng tsiânn hó, kīn-lâi suah uī tio̍h sing-lí ê tāi-tsì huán-bo̍k. ",他和阿仁本來感情很好，最近卻為了生意的事情不合。
你有欠用就來共我講，我會當借你。,"Lí ū khiàm-īng tō lâi kā guá kóng, guá ē-tàng tsioh--lí. ",你缺錢用就來告訴我，我可以借你。
遮的物件你若有欠用就提去。,Tsia ê mi̍h-kiānn lí nā ū khiàm-īng tō the̍h--khì. ,這些東西你如果有需要就拿去。
伊真凍霜，連一屑仔物都毋甘予人。,"I tsin tàng-sng, liân tsi̍t-sut-á mi̍h to m̄-kam hōo--lâng. ",他真小氣，連一點東西都捨不得給人。
我會真毋甘。,Guá ē tsin m̄-kam. ,我會很難過。
是你毋甘嫌啦。,Sī lí m̄-kam hiâm--lah. ,是你不嫌棄啦。
伊目睭反白睚，若像欲昏去矣。,"I ba̍k-tsiu píng-pe̍h-kâinn, ná tshiūnn beh hūn--khì-ah. ",他眼睛翻白眼，就像要昏過去了。
無提著冠軍真毋甘願。,Bô the̍h-tio̍h kuan-kun tsin m̄ kam-guān. ,沒拿到冠軍真不甘心。
天光矣，你好起來讀冊矣！,"Thinn-kng--ah, lí hó khí-lâi tha̍k-tsheh--ah! ",天亮了，你該起來上學了！
我囥佇桌頂的文件是啥人提去？,Guá khǹg tī toh-tíng ê bûn-kiānn sī siánn-lâng the̍h--khì? ,我放在桌上的文件是誰拿走了？
你對這个方向直直行就到矣。,Lí tuì tsit ê hong-hiòng ti̍t-ti̍t kiânn tō kàu--ah. ,你往這個方向直走就到了。
你工課著愛好好仔做，毋通學人做歹囝。,"Lí khang-khuè tio̍h-ài hó-hó-á tsò, m̄-thang o̍h lâng tsò pháinn-kiánn. ",你工作要好好地做，不可以學人家當不良少年。
天地顛倒反,thinn-tē tian-tò-píng,天地顛倒，引申為違反常理。
天地遐爾仔大，免驚無所在通去。,"Thinn-tē hiah-ni-á-tuā, bián-kiann bô sóo-tsāi thang khì. ",世界這麼大，不用怕沒地方去。
拜天地,pài thinn-tē,拜天地
少年若無一擺戇，路邊哪有有應公。,"Siàu-liân nā bô tsi̍t pái gōng, lōo-pinn ná ū Iú-ìng-kong. ",若不是因為年少輕狂的痴傻舉動，荒野路邊哪兒來那些祭拜無主冤魂的小廟呢。
這个頭家猶真少年。,Tsit ê thâu-ke iáu tsin siàu-liân.,這個老闆還很年輕。
我無佮意伊做代誌的方式。,Guá bô kah-ì i tsò tāi-tsì ê hong-sik. ,我不喜歡他做事情的方法。
伊身體欠安，才會無來上班。,"I sin-thé khiàm-an, tsiah-ē bô lâi siōng-pan. ",他因為身體不舒服，所以沒有到班。
烏白罵人是毋好的代誌。,Oo-pe̍h mē--lâng sī m̄ hó ê tāi-tsì. ,亂罵人是不好的事情。
這件代誌毋好講出去。,Tsit kiānn tāi-tsì m̄-hó kóng--tshut-khì. ,這件事情不能說出去。
歹年冬厚痟人。,Pháinn-nî-tang kāu siáu-lâng. ,在不好的年頭，狂人奇事特別多。比喻怪事年年有，今年特別多。
恁遮的少年家毋通傷衝碰，逐項代誌攏愛想予伊較斟酌咧。,"Lín tsia-ê siàu-liân-ke m̄-thang siunn tshóng-pōng, ta̍k hāng tāi-tsì lóng ài siūnn hōo i khah tsim-tsiok--leh. ",你們這些年輕小伙子不要太衝動莽撞，凡事都要仔細小心地想清楚。
若是一个毋好勢，代誌就去了了矣。,"Nā-sī tsi̍t ê m̄ hó-sè, tāi-tsì tō khì-liáu-liáu--ah. ",若是一個不湊巧，事情就全完了。
手曲，屈入無屈出。,"Tshiú-khiau, khut-ji̍p bô khut-tshut. ",胳臂只會向內彎，不會向外彎。比喻偏袒自己人。
彼个人真歹死。,Hit ê lâng tsin pháinn-sí. ,那個人很壞。
伊死的時陣真歹死。,I sí ê sî-tsūn tsin pháinn-sí. ,他死的時候很痛苦。
這毋成錢，你就收起來。,"Tse m̄-tsiânn tsînn, lí tō siu--khí-lâi. ",這算不上什麼錢，你得收下。
伊去予彼个毋成人氣甲欲死。,I khì hōo hit ê m̄-tsiânn-lâng khì kah beh sí. ,他被那個不肖之徒氣個半死。
你欲騎跤踏車，手扞仔著愛扞予伊好。,"Lí beh khiâ kha-ta̍h-tshia, tshiú-huānn-á tio̍h-ài huānn hōo i hó. ",你要騎腳踏車，就要把把手扶好。
伊是好額人，遮的零星錢對伊來講是毋成物。,"I sī hó-gia̍h-lâng, tsia-ê lân-san-tsînn tuì i lâi kóng sī m̄-tsiânn-mi̍h. ",他是有錢人，這些零錢對他來說是微不足道的。
毋成猴，閣會考第一名。,"M̄-tsiânn-kâu, koh ē khó tē-it miâ. ",真是厲害，還會考第一名。
少年袂曉想，食老毋成樣。,"Siàu-liân bē-hiáu siūnn, tsia̍h-lāu m̄-tsiânn-iūnn. ",年輕的時候不會想，年老了就不像樣了。
這馬外口的天色已經暗矣。,Tsit-má guā-kháu ê thinn-sik í-king àm--ah. ,現在外面天色已經暗了。
天色已經無早，我欲轉去矣！,"Thinn-sik í-king bô tsá, guá beh tńg--khì--ah! ",時間已經不早，我要回去了。
伊就是歹心行，才會受著報應。,"I tō-sī pháinn-sim-hīng, tsiah-ē siū-tio̍h pò-ìng. ",他就是心腸不好，才會遭到報應。
醫生講伊欠血，著愛加食一寡較營養的物件。,"I-sing kóng i khiàm-hueh, tio̍h-ài ke tsia̍h tsi̍t-kuá khah îng-ióng ê mi̍h-kiānn. ",醫生說他貧血，必須多吃一些比較營養的食物。
我看伊做的歹代誌毋但按呢爾爾。,Guá khuànn i tsò ê pháinn tāi-tsì m̄-nā án-ne niā-niā. ,我看他做的壞事不只這樣而已。
伊毋但寄付錢，閣去做義工。,"I m̄-nā kià-hù tsînn, koh khì tsò gī-kang. ",他不只捐錢，還去當義工。
代誌做好矣，你毋免來矣。,"Tāi-tsì tsò hó--ah, lí m̄-bián lâi--ah. ",事情已經辦好了，你不用來了。
厝是阿公的手尾放落來的。,Tshù sī a-kong ê tshiú-bué pàng--lo̍h-lâi-ê. ,房子是祖父遺留下來的。
伊月尾欲去高雄看𪜶後生。,I gue̍h-bué beh khì Ko-hiông khuànn in hāu-senn. ,他月底要去高雄看他兒子。
我手尾力無夠，捾袂起來。,"Guá tshiú-bué-la̍t bô-kàu, kuānn bē khí--lâi. ",我手掌的握力不夠，提不起來。
遐的查埔囡仔手真賤，愛掣查某囡仔的毛尾仔。,"Hia ê tsa-poo gín-á tshiú tsin tsiān, ài tshuah tsa-bóo gín-á ê mn̂g-bué-á. ",那些男孩手很賤，喜歡扯女孩的辮子。
這个客戶真歹扭搦，我看你閣揣一个人佮你去好矣。,"Tsit ê kheh-hōo tsin pháinn-liú-la̍k, guá khuànn lí koh tshuē tsi̍t ê lâng kah lí khì hó--ah. ",這個客戶很難搞，我看你還是再找一個人跟你去好了。
伊有家己的想法，毋過毋敢開喙反抗𪜶阿爸的決定。,"I ū ka-kī ê siūnn-huat, m̄-koh m̄ kánn khui-tshuì huán-khòng in a-pah ê kuat-tīng. ",他有自己的想法，但是不敢開口反抗他爸爸的決定。
阮兜魚櫥仔的魚仔攏反肚矣。,Guán tau hî-tû-á ê hî-á lóng píng-tōo--ah. ,我家魚缸裡的魚都死了。
彼个人的心肝真䆀，不時都想欲害人。,"Hit ê lâng ê sim-kuann tsin bái, put-sî to siūnn-beh hāi--lâng. ",那個人的心腸真壞，常常都想要害人。
逐个囡仔攏是爸母的心肝仔寶貝。,Ta̍k ê gín-á lóng sī pē-bú ê sim-kuann-á pó-puè. ,每個小孩都是父母的心肝寶貝。
你心肝咧想啥物我知知。,Lí sim-kuann teh siūnn siánn-mih guá tsai-tsai.,你心裡在想什麼我清楚得很。
這擺的水災真嚴重。,Tsit pái ê tsuí-tsai tsin giâm-tiōng. ,這次的水災很嚴重。
你這馬當咧心狂火著，千萬毋通做決定。,"Lí tsit-má tng-teh sim-kông-hué-to̍h, tshian-bān m̄-thang tsò kuat-tīng. ",你現在正火冒三丈，千萬不要做決定。
我心肝仔囝的。,Guá sim-kuann-á-kiánn--ê. ,我的心肝寶貝。
我的心肝窟仔當咧疼。,Guá ê sim-kuann-khut-á tng-teh thiànn. ,我的胸口正在痛。
這个囡仔真歹育飼。,Tsit ê gín-á tsin pháinn-io-tshī. ,這個小孩子很難扶養。
今仔日佇高速公路發生一件反車的意外。,Kin-á-ji̍t tī ko-sok kong-lōo huat-sing tsi̍t kiānn píng-tshia ê ì-guā. ,今天在高速公路上發生一件翻車的意外。
伊是一个無天良的人。,I sī tsi̍t ê bô-thian-liông ê lâng. ,他是一個沒良心的人。
這款工課恁文身的根本都做袂來。,Tsit khuán khang-khuè lín bûn-sin--ê kin-pún to tsò bē lâi. ,這種工作你們斯文的人根本做不來。
宜蘭、鹿港的方言真有特色。,Gî-lân Lo̍k-káng ê hong-giân tsin ū ti̍k-sik. ,宜蘭、鹿港的方言很有特色。
踏水車,ta̍h tsuí-tshia,踏水車
你若毋較拍拚咧，連鞭就無法度佮人比並。,"Lí nā m̄ khah phah-piànn--leh, liâm-mi tō bô-huat-tōo kah lâng pí-phīng. ",你要是不努力一點，馬上就比不上人家。
人若予人比並做精牲就足毋值矣！,Lâng nā hōo lâng pí-phīng tsò tsing-senn tō tsiok m̄-ta̍t--ah! ,人要是被比喻成畜牲就很不值了！
我規暝反來反去睏袂去。,Guá kui-mê píng-lâi-píng-khì khùn bē khì. ,我整晚翻來覆去睡不著。
伊講話按呢反來反去，毋知伊到底是欲按怎。,"I kóng-uē án-ne píng-lâi-píng-khì, m̄ tsai i tàu-té sī beh án-tsuánn. ",他講話總是這樣翻來覆去，不知道他究竟想怎樣。
阿英仔誠歹命，自細漢爸母就過身矣。,"A-ing--á tsiânn pháinn-miā, tsū sè-hàn pē-bú tō kuè-sin--ah. ",阿英很苦命，從小父母就過世了。
毛呼龜粿粽，紅包隨你送。,"Môo-honn ku kué tsàng, âng-pau suî lí sàng. ",中元食品多的是，紅包隨便你多少好了。譏笑和尚在中元普渡時亂誦經。
有緣才會當做夫妻，恁就莫閣冤矣啦！,"Ū-iân tsiah ē-tàng tsò hu-tshe, lín tō mài koh uan--ah--lah! ",有緣份才可以成為夫妻，你們倆就別再爭吵了！
伊真歹性地，磕袂著就欲共人罵。,"I tsin pháinn-sìng-tē, kha̍p-bē-tio̍h tō beh kā lâng mē. ",他的脾氣很壞，動不動就要罵人。
你著愛紮雨傘去，毋拄好落雨就用會著。,"Lí tio̍h ài tsah hōo-suànn khì, m̄-tú-hó lo̍h-hōo tō īng ē tio̍h. ",你要帶雨傘去，萬一下雨就用得到。
我今仔日人毋拄好。,Guá kin-á-ji̍t lâng m̄-tú-hó. ,我今天人不舒服。
比武招親是歌仔戲才有的齣頭。,Pí-bú tsio-tshin sī kua-á-hì tsiah ū ê tshut thâu. ,比武招親是歌仔戲才有的把戲。
歹物毋通買。,Pháinn-mi̍h m̄ thang bé. ,不好的東西不要買。
聽講彼間厝有歹物。,Thiann kóng hit-king tshù ū pháinn-mi̍h. ,聽說那間房子有凶物。
我跤底生一粒水疱。,Guá kha-té senn tsi̍t lia̍p tsuí-phā. ,我的腳底長一顆水泡。
好空的毋來，歹空的相爭報。,"Hó-khang--ê m̄ lâi, pháinn-khang--ê sio-tsenn pò. ",好事不來，壞事爭著來告知。
彼間厝誠歹空。,Hit king tshù tsiânn pháinn-khang. ,那間房子有鬼。
你問我的代誌我攏毋知，你去問別人。,"Lí mn̄g guá ê tāi-tsì guá lóng m̄ tsai, lí khì mn̄g pa̍t-lâng. ",你問我的事我都不知道，你去問別人。
伊予車挵一下毋知人。,I hōo tshia lòng tsi̍t-ē m̄-tsai-lâng. ,他被車子撞得不醒人事。
人欲來揣你算數矣，你閣毋知死。,"Lâng beh lâi tshuē lí sǹg-siàu--ah, lí koh m̄-tsai-sí. ",別人要來找你算帳了，你還不知死活。
逐家攏毋知影伊走去佗位。,Ta̍k-ke lóng m̄ tsai-iánn i tsáu khì tó-uī. ,大家都不知道他跑到哪裡去了。
阮這个庄頭的交通真無方便。,Guán tsit ê tsng-thâu ê kau-thong tsin bô hong-piān. ,我們這個村莊的交通很不便利。
予人客方便，人客才會愛來。,"Hōo lâng-kheh hong-pian, lâng-kheh tsiah ē ài lâi. ",讓客人方便，客人才會想來。
伊是我拄過上歹剃頭的人。,I sī guá tú--kuè siōng pháinn-thì-thâu ê lâng. ,他是我遇過最難相處的人。
你著好好仔拍拚，日後才有出脫。,"Lí tio̍h hó-hó-á phah-piànn, ji̍t-āu tsiah ū tshut-thuat. ",你要好好努力，以後才有成就。
我已經支持袂牢矣。,Guá í-king tsi-tshî bē tiâu--ah. ,我已經支撐不住了。
我希望恁共我支持。,Guá hi-bāng lín kā guá tsi-tshî. ,我希望你們支持我。
物件猶閣好好你就毋挃矣，按呢敢袂傷討債？,"Mi̍h-kiānn iáu-koh hó-hó lí tō m̄-ti̍h--ah, án-ne kám bē siunn thó-tsè? ",東西還好好的你就不要了，這樣不覺得太浪費嗎？
這毋是我的。,Tse m̄-sī guá-ê. ,這不是我的。
等一下看毋是勢，你就緊走。,"Tán--tsi̍t-ē khuànn m̄-sī-sè, lí tō kín tsáu. ",等一會兒看不對勁，你就快點走。
飯猶未煮好，你先去食一塊餅止枵。,"Pn̄g iáu-buē tsú hó, lí sing khì tsia̍h tsi̍t tè piánn tsí-iau. ",飯還沒煮好，你先去吃一塊餅充飢。
這港水泉的水誠甘。,Tsit káng tsuí-tsuânn ê tsuí tsiânn kam. ,這條泉水的水很甘甜。
初三四，月眉意。,"Tshe-sann-sì, gue̍h-bâi ì. ",初三四，月眉意。
彼幅圖真歹看。,Hit pak tôo tsin pháinn-khuànn. ,那幅畫很難看。
我欲予伊歹看。,Guá beh hōo i pháinn-khuànn. ,我要讓他難堪。
那行那食物件，實在真歹看相。,"Ná kiânn ná tsia̍h mi̍h-kiānn, si̍t-tsāi tsin pháinn-khuànn-siùnn. ",邊走邊吃東西，實在很難看。
想袂到伊會為著利益來反背眾人。,Siūnn bē kàu i ē uī-tio̍h lī-ik lâi huán-puē tsìng-lâng.,想不到他會為了利益而背叛大家。
巴郎好食毋分翁。,Pa-lang hó-tsia̍h m̄ pun ang. ,老婆覺得竹筴魚太好吃了，連自己都捨不得分給老公吃。為一句臺灣俗諺。
洗手面,sé tshiú-bīn,洗手腳
手面真大,tshiú-bīn tsin-tuā,手頭現金很多
伊對語言方面真有興趣,I tuì gí-giân hong-bin tsin ū hìng-tshù. ,他對語言方面很有興趣。
我愛對佗一方面去才揣會著這項物件？,Guá ài tuì tó tsi̍t hong-bīn khì tsiah tshuē ē tio̍h tsit hāng mi̍h-kiānn? ,我要往那個方向去才能找到這項物品？
伊煮的物件真歹食。,I tsú ê mi̍h-kiānn tsin pháinn-tsia̍h. ,她煮的東西很難吃。
你做甲遐辛苦閣予人嫌，實在真毋值！,"Lí tsò kah hiah sin-khóo koh hōo lâng hiâm, si̍t-tsāi tsin m̄-ta̍t! ",你做得這麼辛苦還讓人嫌棄，實在太不值得了！
阿明𪜶後生真不孝，莫怪人講親生囝毋值荷包財。,"A-bîng in hāu-senn tsin put-hàu, bo̍k-kuài lâng kóng tshin-senn kiánn m̄-ta̍t hô-pau tsâi. ",阿明的兒子真不孝，難怪人家說親生子女不如荷包裡的錢實際。
